nombre,idobjeto,idunidad,idProcesoCompra,idCubs
JUEGO DE BROCAS,36930,4,58,10101501
JUEGO DE DIODOS RECTIFICADORES,39600,4,1,10101501
JUEGO DE MESA AJEDREZ,39800,4,1,10101501
JUEGO DE PUNTAS PARA DESTORNILLADOR,36930,4,58,27112830
JUEGOS DE MESA EDUCATIVOS,39800,4,136,10101501
JUMPERS CONEXIÓN DUNPONT HH-MM- MH 40,39600,4,1,10101501
KIT DE ACCESORIOS PARA JERINGAS DE USO ODONTOLOGICO,39550,4,59,10101501
KIT DE DISECCION QUIRÚRGICO,39510,24,1,10101501
KIT DE SISTEMA DINAMICO/LEYES DE NEWTON,42710,40,90,10101501
KIT DESARMADOR DE PRECISION,36400,40,100,10101501
LADRILLO,37100,4,155,10101501
LAGUNA DE OXIDACION,47110,4,1,10101501
LAMINA DE VIDRIO,37200,4,140,10101501
LAMINA TAMAÑO CARTA (PARA LAMINAR),39200,33,3,10101501
LAMINA TRAGALUZ DE TECHO,35800,15,134,10101501
LAMPARA DATA SHOW,39300,4,1,10101501
LAMPARA LED DE ESCRITORIO,39300,4,114,10101501
LAMPARA UV PARA BILLETES,39300,4,1,10101501
LÁMPARAS,39300,4,1,10101501
LANCETA PARA TIPIAJE SANGUINEO,39510,24,37,10101501
LÁPIZ CARBÓN,39200,8,1,10101501
LÁPIZ CORRECTOR,39200,4,1,10101501
LÁPIZ TINTA,39200,24,1,10101501
LÁPIZ TINTA CON LOGOTIPO,33300,4,1,10101501
LAVAMANOS,37100,4,1,10101501
Lente para camara fotografica,39600,4,5,10101501
LENTES,35800,4,1,10101501
LIBROS Y REVISTAS,43100,4,1,10101501
licencia de Adobe Creative Suite,24600,4,39,10101501
LICENCIAS DE ANTIVIRUS,24600,4,1,10101501
LICENCIAS DE DISEÑO GRAFICO,24600,4,39,10101501
Licencias de Inteligencia Artificial,24600,4,39,10101501
LICENCIAS DE OFFICE,24600,4,1,10101501
"Licencias de Programa de Transmisiones en Vivo y creación multimedia,",24600,4,39,10101501
LICENCIAS DE SOFTWARE IA,24600,4,39,10101501
LICUADORA INDUSTRIAL,42230,4,170,10101501
LIJA MANUAL,36400,4,178,27111918
LIJAS,36930,37,1,10101501
LIJAS PARA LIJADORA ELÉCTRICA,37400,33,58,10101501
LIMA PLANA,36400,4,1,10101501
LIMPIADOR LCD,35100,23,40,10101501
LIMPIADORES DE CONTACTO,35100,29,1,10101501
LIMPIADORES DE ESPUMA,35100,29,1,10101501
LLANTAS,34400,4,1,10101501
LLAVE DE CHORRO,36100,4,1,10101501
LLAVEROS PARA MERCHANDISING,33300,4,71,10101501
LLAVIN,36930,4,58,10101501
LOPERAMIDA,35210,4,1,10101501
MACHETE,36400,4,1,10101501
MADERA,31500,35,159,10101501
MALETIN,32310,4,1,10101501
MALLA DE ASBESTO PARA ARO,39520,4,1,10101501
MANDILES DE PLÁSTICO,35800,4,1,10101501
MANGO PARA ESPEJO,39550,4,1,10101501
MANGUERAS,34300,4,1,10101501
MANO DE OBRA NO CALIFICADA APOYO LOGISTICO EVENTOS VARIOS,12200,30,1,10101501
MANO DE OBRA NO CALIFICADA CONSTRUCCION DE OBRAS O MEJORAS,12200,30,1,10101501
MANO DE OBRA NO CALIFICADA LABORES DE ASEO,12200,30,1,10101501
